stt,ma_loai_vb,ten_san_pham,mo_ta,loai_san_pham,san_pham_chuan,nhom,he_so,linh_vuc,lech_nhom
30.6,5,Hướng dẫn liên quan quản lý tài chính,"Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan quản lý tài chính.",Hướng dẫn,,Nhóm 2,1.2,30. Quản lý tài chính,
30.7,3.1,Công văn nội bộ Trường liên quan quản lý tài chính,"Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan quản lý tài chính.",Công văn,,Nhóm 1,0.5,30. Quản lý tài chính,
30.8,3.2,Công văn ra ngoài Trường liên quan quản lý tài chính,"Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan quản lý tài chính.",Công văn,,Nhóm 1,0.5,30. Quản lý tài chính,
30.9,9.4,"Báo cáo tiếp thu, giải trình liên quan quản lý tài chính","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan quản lý tài chính.",Báo cáo,,Nhóm 1,0.5,30. Quản lý tài chính,
31.1,7.2,"Chương trình, kế hoạch mua sắm, sửa chữa tài sản, trang thiết bị năm","Xây dựng kế hoạch mua sắm, bảo trì, sửa chữa tài sản, trang thiết bị hằng năm.",Kế hoạch,,Nhóm 2,1.5,"31. Quản lý tài sản, cơ sở vật chất",hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
31.2,7.4,Kế hoạch kiểm kê tài sản,"Lập kế hoạch kiểm kê tài sản hằng năm, quyết định Tổ kiểm kê tài sản",Kế hoạch,x,Nhóm 1,1,"31. Quản lý tài sản, cơ sở vật chất",hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
31.3,9.2,Báo cáo năm kiểm kê tài sản,"Tổ chức kiểm kê, báo cáo hiện trạng tài sản của Trường.",Báo cáo,,Nhóm 2,1.5,"31. Quản lý tài sản, cơ sở vật chất",hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
31.4,2,Quyết định thanh lý tài sản,Ra quyết định thanh lý tài sản không còn nhu cầu sử dụng theo quy định.,Quyết định,,Nhóm 2,1.5,"31. Quản lý tài sản, cơ sở vật chất",hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
31.5,3,"Quy chế, Quy định liên quan quản lý tài sản, cơ sở vật chất","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan quản lý tài sản, cơ sở vật chất.",Quy chế/Quy định,,Nhóm 2,2,"31. Quản lý tài sản, cơ sở vật chất",hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
31.6,5,"Hướng dẫn liên quan quản lý tài sản, cơ sở vật chất","Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan quản lý tài sản, cơ sở vật chất.",Hướng dẫn,,Nhóm 2,1.2,"31. Quản lý tài sản, cơ sở vật chất",
31.7,3.1,"Công văn nội bộ Trường liên quan quản lý tài sản, cơ sở vật chất","Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan quản lý tài sản, cơ sở vật chất.",Công văn,,Nhóm 1,0.5,"31. Quản lý tài sản, cơ sở vật chất",
31.8,3.2,"Công văn ra ngoài Trường liên quan quản lý tài sản, cơ sở vật chất","Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan quản lý tài sản, cơ sở vật chất.",Công văn,,Nhóm 1,0.5,"31. Quản lý tài sản, cơ sở vật chất",
31.9,9.4,"Báo cáo tiếp thu, giải trình liên quan quản lý tài sản, cơ sở vật chất","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan quản lý tài sản, cơ sở vật chất.",Báo cáo,,Nhóm 1,0.5,"31. Quản lý tài sản, cơ sở vật chất",
32.1,7.2,"Chương trình, kế hoạch huy động nguồn lực xã hội hóa, tài trợ năm","Xây dựng kế hoạch huy động nguồn lực hợp pháp, thu hút tài trợ.",Kế hoạch,,Nhóm 2,1.5,"32. Huy động, quản lý và sử dụng hiệu quả các nguồn lực",hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
32.2,14,Bản thỏa thuận tiếp nhận tài trợ,"Ký kết thỏa thuận tiếp nhận tài trợ, viện trợ hợp pháp.",Bản ghi nhớ/Bản thỏa thuận,,Nhóm 2,1.5,"32. Huy động, quản lý và sử dụng hiệu quả các nguồn lực",hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
32.3,3,"Quy chế, Quy định liên quan huy động, quản lý và sử dụng hiệu quả các nguồn lực","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan huy động, quản lý và sử dụng hiệu quả các nguồn lực.",Quy chế/Quy định,,Nhóm 2,2,"32. Huy động, quản lý và sử dụng hiệu quả các nguồn lực",hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
32.4,5,"Hướng dẫn liên quan huy động, quản lý và sử dụng hiệu quả các nguồn lực","Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan huy động, quản lý và sử dụng hiệu quả các nguồn lực.",Hướng dẫn,,Nhóm 2,1.2,"32. Huy động, quản lý và sử dụng hiệu quả các nguồn lực",
32.5,3.1,"Công văn nội bộ Trường liên quan huy động, quản lý và sử dụng hiệu quả các nguồn lực","Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan huy động, quản lý và sử dụng hiệu quả các nguồn lực.",Công văn,,Nhóm 1,0.5,"32. Huy động, quản lý và sử dụng hiệu quả các nguồn lực",
32.6,3.2,"Công văn ra ngoài Trường liên quan huy động, quản lý và sử dụng hiệu quả các nguồn lực","Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan huy động, quản lý và sử dụng hiệu quả các nguồn lực.",Công văn,,Nhóm 1,0.5,"32. Huy động, quản lý và sử dụng hiệu quả các nguồn lực",
32.7,9.4,"Báo cáo tiếp thu, giải trình liên quan huy động, quản lý và sử dụng hiệu quả các nguồn lực","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan huy động, quản lý và sử dụng hiệu quả các nguồn lực.",Báo cáo,,Nhóm 1,0.5,"32. Huy động, quản lý và sử dụng hiệu quả các nguồn lực",
33.1,7.4,Kế hoạch triển khai xây dựng trường học Xanh - Sạch - Đẹp,"Xây dựng kế hoạch triển khai mô hình trường học xanh, sạch, đẹp.",Kế hoạch,,Nhóm 1,1,33. Bảo vệ môi trường và phát triển bền vững,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
33.2,9.2,"Báo cáo năm kết quả tiết kiệm năng lượng, bảo vệ môi trường","Tổng hợp, báo cáo kết quả thực hiện các hoạt động bảo vệ môi trường.",Báo cáo,,Nhóm 2,1.5,33. Bảo vệ môi trường và phát triển bền vững,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
33.3,3,"Quy chế, Quy định liên quan bảo vệ môi trường và phát triển bền vững","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan bảo vệ môi trường và phát triển bền vững.",Quy chế/Quy định,,Nhóm 2,2,33. Bảo vệ môi trường và phát triển bền vững,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
33.4,5,Hướng dẫn liên quan bảo vệ môi trường và phát triển bền vững,"Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan bảo vệ môi trường và phát triển bền vững.",Hướng dẫn,,Nhóm 2,1.2,33. Bảo vệ môi trường và phát triển bền vững,
33.5,3.1,Công văn nội bộ Trường liên quan bảo vệ môi trường và phát triển bền vững,"Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan bảo vệ môi trường và phát triển bền vững.",Công văn,,Nhóm 1,0.5,33. Bảo vệ môi trường và phát triển bền vững,
33.6,3.2,Công văn ra ngoài Trường liên quan bảo vệ môi trường và phát triển bền vững,"Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan bảo vệ môi trường và phát triển bền vững.",Công văn,,Nhóm 1,0.5,33. Bảo vệ môi trường và phát triển bền vững,
33.7,9.4,"Báo cáo tiếp thu, giải trình liên quan bảo vệ môi trường và phát triển bền vững","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan bảo vệ môi trường và phát triển bền vững.",Báo cáo,,Nhóm 1,0.5,33. Bảo vệ môi trường và phát triển bền vững,
34.1,7.4,"Kế hoạch triển khai tham gia hoạt động an sinh xã hội, tình nguyện","Xây dựng kế hoạch tham gia chương trình an sinh xã hội, tình nguyện.",Kế hoạch,,Nhóm 1,1,34. Thực hiện trách nhiệm xã hội và phục vụ cộng đồng,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
34.2,9.5,"Báo cáo kết quả hoạt động an sinh xã hội, phục vụ cộng đồng","Tổng hợp, báo cáo kết quả các hoạt động an sinh xã hội, phục vụ cộng đồng.",Báo cáo,,Nhóm 2,1.5,34. Thực hiện trách nhiệm xã hội và phục vụ cộng đồng,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
34.3,3,"Quy chế, Quy định liên quan thực hiện trách nhiệm xã hội và phục vụ cộng đồng","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan thực hiện trách nhiệm xã hội và phục vụ cộng đồng.",Quy chế/Quy định,,Nhóm 2,2,34. Thực hiện trách nhiệm xã hội và phục vụ cộng đồng,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
34.4,5,Hướng dẫn liên quan thực hiện trách nhiệm xã hội và phục vụ cộng đồng,"Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan thực hiện trách nhiệm xã hội và phục vụ cộng đồng.",Hướng dẫn,,Nhóm 2,1.2,34. Thực hiện trách nhiệm xã hội và phục vụ cộng đồng,
34.5,3.1,Công văn nội bộ Trường liên quan thực hiện trách nhiệm xã hội và phục vụ cộng đồng,"Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan thực hiện trách nhiệm xã hội và phục vụ cộng đồng.",Công văn,,Nhóm 1,0.5,34. Thực hiện trách nhiệm xã hội và phục vụ cộng đồng,
34.6,3.2,Công văn ra ngoài Trường liên quan thực hiện trách nhiệm xã hội và phục vụ cộng đồng,"Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan thực hiện trách nhiệm xã hội và phục vụ cộng đồng.",Công văn,,Nhóm 1,0.5,34. Thực hiện trách nhiệm xã hội và phục vụ cộng đồng,
34.7,9.4,"Báo cáo tiếp thu, giải trình liên quan thực hiện trách nhiệm xã hội và phục vụ cộng đồng","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan thực hiện trách nhiệm xã hội và phục vụ cộng đồng.",Báo cáo,,Nhóm 1,0.5,34. Thực hiện trách nhiệm xã hội và phục vụ cộng đồng,
35.1,7.2,"Chương trình, kế hoạch công tác quốc phòng, quân sự địa phương năm","Xây dựng kế hoạch công tác quốc phòng, quân sự, giáo dục quốc phòng - an ninh năm.",Kế hoạch,,Nhóm 2,1.5,"35. Quốc phòng và giáo dục quốc phòng, an ninh",hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
35.2,9.2,"Báo cáo năm kết quả công tác giáo dục quốc phòng, an ninh","Tổng hợp, báo cáo kết quả thực hiện công tác quốc phòng, an ninh.",Báo cáo,,Nhóm 2,1.5,"35. Quốc phòng và giáo dục quốc phòng, an ninh",hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
35.3,3,"Quy chế, Quy định liên quan quốc phòng và giáo dục quốc phòng, an ninh","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan quốc phòng và giáo dục quốc phòng, an ninh.",Quy chế/Quy định,,Nhóm 2,2,"35. Quốc phòng và giáo dục quốc phòng, an ninh",hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
35.4,5,"Hướng dẫn liên quan quốc phòng và giáo dục quốc phòng, an ninh","Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan quốc phòng và giáo dục quốc phòng, an ninh.",Hướng dẫn,,Nhóm 2,1.2,"35. Quốc phòng và giáo dục quốc phòng, an ninh",
35.5,3.1,"Công văn nội bộ Trường liên quan quốc phòng và giáo dục quốc phòng, an ninh","Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan quốc phòng và giáo dục quốc phòng, an ninh.",Công văn,,Nhóm 1,0.5,"35. Quốc phòng và giáo dục quốc phòng, an ninh",
35.6,3.2,"Công văn ra ngoài Trường liên quan quốc phòng và giáo dục quốc phòng, an ninh","Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan quốc phòng và giáo dục quốc phòng, an ninh.",Công văn,,Nhóm 1,0.5,"35. Quốc phòng và giáo dục quốc phòng, an ninh",
35.7,9.4,"Báo cáo tiếp thu, giải trình liên quan quốc phòng và giáo dục quốc phòng, an ninh","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan quốc phòng và giáo dục quốc phòng, an ninh.",Báo cáo,,Nhóm 1,0.5,"35. Quốc phòng và giáo dục quốc phòng, an ninh",
36.1,8,"Phương án bảo vệ an ninh trật tự, phòng cháy chữa cháy","Xây dựng phương án bảo vệ an ninh, an toàn, phòng cháy chữa cháy của Trường.",Phương án,,Nhóm 2,2,"36. Bảo đảm an ninh, an toàn và bảo vệ nhà trường",hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
36.2,7.4,"Kế hoạch triển khai phòng, chống thiên tai","Xây dựng kế hoạch phòng, chống thiên tai, ứng phó sự cố.",Kế hoạch,,Nhóm 1,1,"36. Bảo đảm an ninh, an toàn và bảo vệ nhà trường",hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
36.3,9.5,"Báo cáo vụ việc mất an ninh, trật tự, an toàn (nếu có)","Báo cáo, đề xuất xử lý khi phát sinh vụ việc mất an ninh, trật tự.",Báo cáo,,Nhóm 1,1,"36. Bảo đảm an ninh, an toàn và bảo vệ nhà trường",hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
36.4,3,"Quy chế, Quy định liên quan bảo đảm an ninh, an toàn và bảo vệ nhà trường","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan bảo đảm an ninh, an toàn và bảo vệ nhà trường.",Quy chế/Quy định,,Nhóm 2,2,"36. Bảo đảm an ninh, an toàn và bảo vệ nhà trường",hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
36.5,5,"Hướng dẫn liên quan bảo đảm an ninh, an toàn và bảo vệ nhà trường","Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan bảo đảm an ninh, an toàn và bảo vệ nhà trường.",Hướng dẫn,,Nhóm 2,1.2,"36. Bảo đảm an ninh, an toàn và bảo vệ nhà trường",
36.6,3.1,"Công văn nội bộ Trường liên quan bảo đảm an ninh, an toàn và bảo vệ nhà trường","Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan bảo đảm an ninh, an toàn và bảo vệ nhà trường.",Công văn,,Nhóm 1,0.5,"36. Bảo đảm an ninh, an toàn và bảo vệ nhà trường",
36.7,3.2,"Công văn ra ngoài Trường liên quan bảo đảm an ninh, an toàn và bảo vệ nhà trường","Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan bảo đảm an ninh, an toàn và bảo vệ nhà trường.",Công văn,,Nhóm 1,0.5,"36. Bảo đảm an ninh, an toàn và bảo vệ nhà trường",
36.8,9.4,"Báo cáo tiếp thu, giải trình liên quan bảo đảm an ninh, an toàn và bảo vệ nhà trường","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan bảo đảm an ninh, an toàn và bảo vệ nhà trường.",Báo cáo,,Nhóm 1,0.5,"36. Bảo đảm an ninh, an toàn và bảo vệ nhà trường",
37.1,7.2,"Chương trình, kế hoạch đối ngoại, hợp tác quốc tế năm","Xây dựng kế hoạch hoạt động đối ngoại, hợp tác quốc tế hằng năm.",Kế hoạch,,Nhóm 2,1.5,37. Đối ngoại và hợp tác quốc tế,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
37.2,14,Bản ghi nhớ hợp tác quốc tế,"Ký kết bản ghi nhớ hợp tác với đối tác, tổ chức nước ngoài.",Bản ghi nhớ/Bản thỏa thuận,,Nhóm 1,1,37. Đối ngoại và hợp tác quốc tế,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
37.3,9.5,Báo cáo kết quả hoạt động đối ngoại,"Tổng hợp, báo cáo kết quả các hoạt động đối ngoại, hợp tác quốc tế.",Báo cáo,,Nhóm 1,1,37. Đối ngoại và hợp tác quốc tế,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
37.4,3,"Quy chế, Quy định liên quan đối ngoại và hợp tác quốc tế","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan đối ngoại và hợp tác quốc tế.",Quy chế/Quy định,,Nhóm 2,2,37. Đối ngoại và hợp tác quốc tế,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
37.5,5,Hướng dẫn liên quan đối ngoại và hợp tác quốc tế,"Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan đối ngoại và hợp tác quốc tế.",Hướng dẫn,,Nhóm 2,1.2,37. Đối ngoại và hợp tác quốc tế,
37.6,3.1,Công văn nội bộ Trường liên quan đối ngoại và hợp tác quốc tế,"Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan đối ngoại và hợp tác quốc tế.",Công văn,,Nhóm 1,0.5,37. Đối ngoại và hợp tác quốc tế,
37.7,3.2,Công văn ra ngoài Trường liên quan đối ngoại và hợp tác quốc tế,"Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan đối ngoại và hợp tác quốc tế.",Công văn,,Nhóm 1,0.5,37. Đối ngoại và hợp tác quốc tế,
37.8,9.4,"Báo cáo tiếp thu, giải trình liên quan đối ngoại và hợp tác quốc tế","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan đối ngoại và hợp tác quốc tế.",Báo cáo,,Nhóm 1,0.5,37. Đối ngoại và hợp tác quốc tế,
38.1,7.2,Kế hoạch tổ chức đào tạo tiếng Việt cho người nước ngoài năm,"Xây dựng kế hoạch tổ chức lớp đào tạo, bồi dưỡng tiếng Việt cho người nước ngoài.",Kế hoạch,,Nhóm 1,1,38. Hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
38.2,9.5,"Báo cáo quản lý đoàn ra, đoàn vào","Tổng hợp, báo cáo tình hình quản lý đoàn ra, đoàn vào, chuyên gia, khách quốc tế.",Báo cáo,,Nhóm 1,1,38. Hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
38.3,15,"Giấy mời chuyên gia, giảng viên, khách quốc tế","Thực hiện thủ tục mời chuyên gia, giảng viên, khách quốc tế đến làm việc, giảng dạy.",Giấy mời/Giấy tờ hành chính,,Nhóm 1,0.3,38. Hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài,hệ số 0.3 ≠ chuẩn Nhóm 1 = 0.5
38.4,3,"Quy chế, Quy định liên quan hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài.",Quy chế/Quy định,,Nhóm 2,2,38. Hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
38.5,5,Hướng dẫn liên quan hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài,"Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài.",Hướng dẫn,,Nhóm 2,1.2,38. Hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài,
38.6,3.1,Công văn nội bộ Trường liên quan hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài,"Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài.",Công văn,,Nhóm 1,0.5,38. Hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài,
38.7,3.2,Công văn ra ngoài Trường liên quan hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài,"Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài.",Công văn,,Nhóm 1,0.5,38. Hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài,
38.8,9.4,"Báo cáo tiếp thu, giải trình liên quan hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài.",Báo cáo,,Nhóm 1,0.5,38. Hội nhập quốc tế và quản lý hoạt động có yếu tố nước ngoài,
